metadata;file;mappings;datatype
beginningDateTime;xfdumanifest.xml;//sentinel-safe:acquisitionPeriod/sentinel-safe:startTime/text();DateTimeOffset
endingDateTime;xfdumanifest.xml;//sentinel-safe:acquisitionPeriod/sentinel-safe:stopTime/text();DateTimeOffset
platformShortName;static;sentinel-6;String
platformSerialIdentifier;xfdumanifest.xml;//sentinel-safe:platform/sentinel-safe:number/text();String
instrumentShortName;xfdumanifest.xml;lowercase(//sentinel-safe:platform/sentinel-safe:instrument/sentinel-safe:familyName/@abbreviation);String
productType;xfdumanifest.xml;//sentinel6:generalProductInformation/sentinel6:productType/text();String
timeliness;xfdumanifest.xml;//sentinel6:generalProductInformation/sentinel6:timeliness/text();String
baselineCollection;xfdumanifest.xml;//sentinel6:generalProductInformation/sentinel6:baselineCollection/text();String
orbitNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:orbitNumber/text();Int64
orbitDirection;xfdumanifest.xml;lowercase(//sentinel-safe:orbitReference/sentinel-safe:orbitNumber[1]/@groundTrackDirection);String
relativeOrbitNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:relativeOrbitNumber/text();Int64
cycleNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:cycleNumber/text();Int64
processingLevel;xfdumanifest.xml;//sentinel-safe:processing/@outputLevel;String
processingDate;xfdumanifest.xml;//sentinel-safe:processing/@start;DateTimeOffset
processorVersion;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/sentinel-safe:software/@version;String
nssdcIdentifier;xfdumanifest.xml;//sentinel-safe:platform/sentinel-safe:nssdcIdentifier/text();String
coordinates;xfdumanifest.xml;WKT(//sentinel-safe:frameSet/sentinel-safe:footPrint/gml:posList/text());String
asset:AMRData;xfdumanifest.xml;//dataObject[@ID='AMRData']/byteStream/fileLocation/@href;String
asset:AMRData:size;xfdumanifest.xml;//dataObject[@ID='AMRData']/byteStream/@size;Int
asset:AMRData:checksum;xfdumanifest.xml;//dataObject[@ID='AMRData']/byteStream/checksum/text();String
dimensions;*.nc;dimensions;Dict
variables;*.nc;variables;Dict
